g: 0.1 c: 0.08,g: 0.1 c: 1.0,g: 0.1 c: 10.0,g: 0.5 c: 0.08,g: 0.5 c: 1.0,g: 0.5 c: 10.0,g: 1 c: 0.08,g: 1 c: 1.0,g: 1 c: 10.0,g: 3 c: 0.08,g: 3 c: 1.0,g: 3 c: 10.0
87.43,91.9,91.78,86.53,87.73,88.28,86.1,86.22,86.34,86.16,86.16,86.16
87.43,91.9,91.78,86.53,87.73,88.28,86.1,86.22,86.34,86.16,86.16,86.16
87.43,91.9,91.78,86.53,87.73,88.28,86.1,86.22,86.34,86.16,86.16,86.16
87.43,91.9,91.78,86.53,87.73,88.28,86.1,86.22,86.34,86.16,86.16,86.16
87.43,91.9,91.78,86.53,87.73,88.28,86.1,86.22,86.34,86.16,86.16,86.16
87.43,91.9,91.78,86.53,87.73,88.28,86.1,86.22,86.34,86.16,86.16,86.16
87.43,91.9,91.78,86.53,87.73,88.28,86.1,86.22,86.34,86.16,86.16,86.16
87.43,91.9,91.78,86.53,87.73,88.28,86.1,86.22,86.34,86.16,86.16,86.16
87.43,91.9,91.78,86.53,87.73,88.28,86.1,86.22,86.34,86.16,86.16,86.16
87.43,91.9,91.78,86.53,87.73,88.28,86.1,86.22,86.34,86.16,86.16,86.16
